Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Countries with Access to the Sea: Europe,6923.709,7084.468,7214.29,7315.212,7329.653,7403.06,7449.636,7471.387,7470.316,7454.412,7431.653,7374.19,7272.106,7145.311,7025.474,6908.463,6827.077,6801.592,6821.539,6852.101,6895.43,6988.683,7145.343,7349.739,7559.882,7768.798,8022.306,8334.005,8673.469,9004.395,9343.268,9583.584,9671.543,9655.815,9642.356,9614.124,9579.472,9554.557,9534.373,9496.426,9443.651,9407.554,9401.107,9413.478,9423.353,9437.984,9441.799,9425.876,9400.322,9374.193,9333.712,9339.921,9420.259,9539.811,9640.56,9739.319,9767.011,9685.036,9526.363,9363.601,9183.495,8992.509,8801.564,8605.116,8385.525,8144.853,7898.768,7652.865,7401.397,7146.272,6903.045,6600.338,6207.975,5768.182,5334.414,4873.215,4544.537,4426.109,4434.498,4421.698,4433.104,4321.352,4003.231,3556.151,3139.57,2720.227,2350.695,2072.758,1856.642,1623.825,1429.017,1249.286,1015.501,731.908,528.271,441.365,363.273,264.987,146.51,83.909,113.244
Countries with Access to the Sea: Latin America and the Caribbean,9948.644,9986.508,10016.031,10038.609,10095.996,10087.33,10080.766,10077.42,10078.352,10080.707,10081.64,10101.937,10150.564,10216.799,10280.093,10343.607,10398.139,10436.687,10462.582,10485.454,10502.589,10510.426,10507.89,10494.588,10473.721,10447.607,10399.749,10323.19,10226.706,10123.428,10007.638,9903.975,9825.039,9758.139,9680.361,9599.19,9492.206,9346.855,9175.511,9004.463,8830.131,8655.001,8483.469,8314.944,8142.588,7965.688,7802.338,7660.211,7531.278,7397.49,7259.617,7122.115,6984.444,6843.03,6698.771,6556.206,6382.126,6161.599,5911.136,5660.424,5401.398,5160.262,4952.405,4764.592,4570.962,4379.93,4173.037,3939.556,3691.129,3449.957,3211.368,2988.041,2788.464,2606.651,2427.201,2252.079,2087.697,1935.347,1792.601,1656.519,1528.617,1400.144,1266.736,1132.594,1006.174,885.644,774.501,675.256,586.059,496.51,426.107,366.893,298.291,220.515,165.383,138.922,114.766,86.445,53.957,34.401,62.362
Countries with Access to the Sea: Northern America,4329.447,4318.18,4318.756,4329.577,4294.524,4350.259,4404.945,4457.425,4506.537,4555.871,4609.027,4641.077,4641.357,4622.963,4608.744,4593.023,4597.217,4633.943,4693.256,4747.031,4794.225,4861.597,4957.488,5067.08,5170.853,5277.079,5338.876,5332.314,5279.409,5226.783,5165.908,5106.115,5056.998,5013.269,4962.111,4908.594,4849.256,4781.922,4711.512,4644.653,4579.459,4529.327,4501.426,4490.2,4482.691,4481.208,4486.657,4498.104,4515.789,4535.885,4553.153,4590.99,4658.708,4741.759,4816.547,4888.102,4929.881,4926.361,4888.329,4844.739,4792.984,4716.103,4609.578,4480.84,4340.493,4184.789,4034.001,3898.789,3769.791,3631.69,3493.188,3326.696,3118.768,2886.195,2658.092,2427.295,2221.523,2057.089,1921.255,1784.703,1652.991,1526.482,1402.332,1282.016,1169.352,1062.954,963.02,869.821,782.315,695.251,633.433,564.685,472.443,358.393,275.675,237.482,199.051,151.077,93.562,58.142,98.089
Countries with Access to the Sea: Oceania,696.734,691.144,686.128,681.576,671.799,671.189,669.946,668.007,665.319,662.398,659.783,654.436,645.108,633.519,622.428,611.037,602.972,600.259,601.191,601.824,602.62,604.374,606.975,610.054,613.35,616.896,619.251,619.684,618.656,617.235,615.027,612.443,609.734,606.482,602.827,599.706,592.312,578.559,561.181,544.164,525.708,513.861,512.699,518.13,522.477,527.909,528.478,520.641,507.637,495.756,483.174,474.037,470.865,471.198,470.237,469.161,465.243,456.72,445.067,433.712,422.175,410.017,397.418,384.542,370.996,356.405,343.736,334.286,326.56,318.242,310.385,298.815,281.416,260.41,240.074,219.466,201.001,186.278,174.107,161.649,149.413,137.771,126.607,115.908,105.826,96.359,87.078,77.785,68.651,59.44,52.494,46.109,37.922,28.027,21.031,17.998,14.934,11.032,6.293,3.572,4.783
Croatia,35.504,36.67,37.702,38.607,38.428,39.616,40.594,41.364,41.931,42.418,42.949,42.931,42.13,40.907,39.709,38.269,37.956,39.44,42.026,44.443,47.063,48.775,48.934,48.132,47.575,46.986,46.846,47.506,48.684,49.715,50.692,51.731,52.81,53.887,54.936,55.944,56.781,57.375,57.751,58.106,58.511,58.412,57.59,56.344,55.156,53.882,53.161,53.343,54.131,54.813,55.459,56.271,57.255,58.306,59.359,60.485,61.105,60.943,60.26,59.506,58.479,57.814,57.838,58.178,58.268,58.373,57.445,54.953,51.464,48.087,44.62,41.529,39.164,37.315,35.308,33.134,31.599,30.993,30.921,30.797,30.849,30.029,27.793,24.656,21.698,18.719,15.988,13.751,11.871,9.748,8.016,6.746,5.24,3.512,2.264,1.73,1.375,0.96,0.486,0.225,0.249
Cuba,105.957,113.176,118.586,122.403,127.298,126.951,126.111,124.947,123.626,122.078,120.228,119.448,120.388,122.493,124.465,126.445,128.731,131.301,134.005,136.932,140.32,142.54,142.868,142.144,141.378,139.708,140.852,146.551,154.727,162.074,169.858,173.026,168.922,160.157,152.539,145.557,138.485,131.759,125.989,120.269,113.486,114.241,126.313,145.384,163.658,183.057,197.212,202.279,201.324,200.856,199.09,198.466,200.695,203.967,205.818,208.006,203.552,189.144,168.746,148.996,127.79,113.23,109.771,113.368,115.681,118.578,119.055,114.845,107.735,101.691,95.811,90.73,87.126,84.394,81.332,78.27,74.542,69.723,64.223,58.915,53.671,48.579,43.783,39.253,34.791,30.408,26.501,23.237,20.464,17.722,15.58,13.616,11.351,8.8,6.993,6.058,5.097,3.93,2.557,1.663,3.038
Curaçao,1.642,1.763,1.862,1.939,2.038,2.057,2.069,2.077,2.082,2.081,2.068,2.074,2.108,2.16,2.204,2.255,2.267,2.216,2.128,2.045,1.953,1.896,1.896,1.933,1.962,1.996,2.007,1.981,1.932,1.89,1.846,1.82,1.819,1.837,1.854,1.878,1.888,1.868,1.836,1.81,1.78,1.79,1.857,1.962,2.062,2.17,2.25,2.279,2.279,2.282,2.276,2.295,2.36,2.449,2.524,2.599,2.629,2.592,2.509,2.427,2.337,2.253,2.185,2.126,2.057,1.98,1.91,1.851,1.797,1.741,1.688,1.616,1.515,1.394,1.278,1.159,1.056,0.982,0.926,0.867,0.812,0.752,0.683,0.61,0.541,0.477,0.416,0.361,0.311,0.261,0.218,0.187,0.154,0.118,0.094,0.081,0.069,0.053,0.034,0.022,0.043
Cyprus,12.509,12.907,13.192,13.381,13.359,13.452,13.492,13.494,13.472,13.442,13.416,13.417,13.463,13.567,13.684,13.782,14.12,14.811,15.722,16.602,17.495,18.266,18.821,19.214,19.606,19.981,20.211,20.255,20.163,20.032,19.849,19.645,19.446,19.242,19.0,18.717,18.461,18.26,18.087,17.902,17.726,17.488,17.152,16.763,16.387,16.002,15.698,15.524,15.436,15.333,15.233,15.125,14.992,14.839,14.686,14.531,14.35,14.132,13.886,13.628,13.363,13.059,12.703,12.313,11.91,11.481,11.085,10.75,10.445,10.124,9.81,9.42,8.914,8.339,7.771,7.187,6.673,6.278,5.955,5.622,5.306,4.934,4.467,3.946,3.453,2.97,2.535,2.173,1.867,1.546,1.292,1.092,0.861,0.601,0.415,0.332,0.268,0.196,0.114,0.062,0.094
Czechia,115.277,112.678,111.034,110.193,106.401,108.853,111.099,113.029,114.538,115.906,117.412,117.017,113.845,108.946,104.429,100.085,96.315,93.601,91.918,90.347,88.576,89.84,95.498,103.957,112.325,121.257,128.544,132.823,135.11,138.05,141.427,143.845,144.972,145.466,145.738,145.021,147.537,155.207,165.799,175.348,184.88,190.84,191.135,187.481,184.09,180.598,175.399,168.269,160.024,151.517,142.359,135.647,132.943,132.903,132.666,132.859,132.746,131.689,130.188,129.127,128.026,128.195,130.279,133.426,136.106,138.579,139.812,139.12,136.897,134.448,131.778,127.33,120.544,112.165,103.635,94.826,86.147,77.999,70.34,62.563,54.596,48.141,43.918,41.18,38.526,36.325,33.539,29.538,24.865,20.25,16.526,14.025,11.199,8.028,5.829,4.895,3.98,2.777,1.283,0.594,0.361
Côte d'Ivoire,856.192,831.616,808.113,785.659,768.707,746.613,725.804,706.247,687.913,670.468,653.577,638.724,626.485,615.918,605.543,595.697,584.51,570.91,555.669,540.758,525.945,510.397,493.951,476.939,459.918,442.85,426.131,410.036,394.484,379.101,363.952,349.531,336.05,323.348,310.945,298.799,287.489,277.212,267.643,258.374,249.617,240.239,229.677,218.488,207.785,197.333,187.603,178.941,171.1,163.436,156.002,149.171,143.039,137.439,132.077,126.975,121.976,116.958,111.95,107.096,102.36,97.552,92.588,87.516,82.546,77.738,72.617,67.001,61.151,55.455,49.772,44.775,40.816,37.574,34.397,31.448,28.415,25.087,21.65,18.497,15.547,12.89,10.609,8.645,6.835,5.182,3.826,2.809,2.064,1.391,0.944,0.676,0.451,0.261,0.13,0.086,0.065,0.042,0.018,0.005,0.003
Dem. People's Republic of Korea,356.211,351.506,347.211,343.393,345.134,339.989,336.011,333.263,331.803,331.123,330.716,333.49,340.646,350.536,360.48,371.22,379.417,383.205,384.111,385.282,385.78,387.224,390.631,394.9,398.308,401.683,401.908,397.414,389.919,382.316,373.55,367.362,365.751,366.724,367.91,371.727,368.499,353.798,333.276,314.681,293.665,289.599,312.01,350.659,385.744,421.182,447.105,456.586,454.186,453.471,454.225,443.535,417.136,381.34,344.363,301.726,275.608,276.977,294.582,308.976,327.366,326.196,292.849,240.346,192.426,142.066,110.204,108.923,127.008,141.485,157.332,166.231,161.851,148.95,138.784,129.305,119.377,109.625,99.917,89.641,79.095,68.719,58.733,49.235,40.008,30.976,23.537,18.33,14.765,11.268,8.654,6.895,5.116,3.311,2.119,1.637,1.285,0.893,0.461,0.218,0.238
Democratic Republic of the Congo,3276.369,3187.745,3098.833,3009.765,2930.05,2838.877,2748.433,2658.775,2569.959,2482.287,2396.065,2310.114,2223.998,2138.513,2055.095,1973.7,1894.887,1819.16,1746.52,1676.048,1607.427,1544.058,1487.383,1435.746,1386.034,1338.852,1292.389,1245.422,1198.744,1154.284,1111.557,1070.486,1031.189,993.45,956.949,921.774,887.405,853.56,820.459,788.539,757.636,728.087,700.079,673.379,647.5,622.464,598.285,574.897,552.237,530.305,509.103,488.244,467.535,447.103,427.263,407.94,389.107,370.776,352.926,335.56,318.723,302.184,285.842,269.829,254.245,238.917,224.673,211.89,200.101,188.561,177.533,165.939,153.202,139.864,127.098,114.733,102.835,91.575,80.931,70.704,60.929,52.003,44.106,37.112,30.655,24.743,19.683,15.565,12.236,9.106,6.818,5.344,3.929,2.547,1.603,1.215,0.95,0.66,0.342,0.149,0.168
Denmark,65.236,62.109,59.975,58.719,56.314,57.678,59.273,61.01,62.798,64.754,66.989,68.396,68.474,67.747,67.173,66.485,66.479,67.625,69.505,71.125,72.551,74.132,75.9,77.652,79.287,80.986,81.47,80.142,77.624,75.247,72.881,70.512,68.312,66.358,64.38,62.227,61.473,62.807,65.481,68.144,71.171,73.368,74.039,73.794,73.775,73.549,74.239,76.453,79.503,82.2,84.913,86.332,85.722,83.757,81.861,79.783,77.771,76.102,74.635,73.069,71.607,69.892,67.762,65.522,63.256,60.479,59.753,62.212,66.454,70.247,74.404,75.587,72.023,65.4,59.158,52.586,46.91,43.081,40.432,37.365,34.22,31.134,28.021,24.964,22.106,19.393,16.984,14.966,13.245,11.554,10.337,9.102,7.535,5.662,4.328,3.736,3.125,2.353,1.421,0.82,1.275
Denmark (and dependencies),66.669,63.497,61.333,60.06,57.64,59.014,60.624,62.38,64.19,66.169,68.432,69.86,69.946,69.219,68.647,67.959,67.954,69.098,70.98,72.599,74.019,75.6,77.373,79.131,80.771,82.475,82.954,81.61,79.065,76.661,74.268,71.874,69.657,67.69,65.696,63.53,62.76,64.076,66.731,69.38,72.399,74.585,75.235,74.969,74.932,74.681,75.391,77.694,80.873,83.692,86.53,88.034,87.448,85.463,83.549,81.449,79.402,77.69,76.171,74.546,73.019,71.237,69.044,66.742,64.412,61.571,60.78,63.182,67.37,71.109,75.212,76.347,72.751,66.102,59.836,53.243,47.533,43.642,40.917,37.779,34.562,31.42,28.28,25.211,22.342,19.619,17.197,15.154,13.404,11.685,10.446,9.194,7.61,5.718,4.369,3.771,3.153,2.375,1.434,0.829,1.289
Djibouti,19.397,19.846,20.1,20.183,20.537,20.113,19.657,19.191,18.735,18.267,17.765,17.465,17.48,17.696,17.895,18.122,18.28,18.297,18.223,18.182,18.158,18.092,17.971,17.818,17.647,17.435,17.312,17.339,17.444,17.513,17.588,17.502,17.167,16.668,16.176,15.644,15.173,14.822,14.541,14.22,13.889,13.498,13.012,12.465,11.932,11.406,10.881,10.364,9.862,9.361,8.848,8.427,8.14,7.939,7.734,7.55,7.302,6.941,6.511,6.109,5.718,5.332,4.958,4.599,4.243,3.881,3.592,3.413,3.302,3.193,3.101,2.966,2.748,2.479,2.232,1.99,1.767,1.572,1.4,1.231,1.067,0.918,0.785,0.666,0.557,0.457,0.371,0.297,0.236,0.178,0.135,0.106,0.079,0.051,0.032,0.025,0.02,0.014,0.007,0.003,0.004
Dominican Republic,201.55,201.51,201.33,201.026,201.129,200.41,199.649,198.858,198.05,197.219,196.356,195.57,194.91,194.332,193.727,193.101,192.503,191.941,191.385,190.709,189.829,189.124,188.736,188.419,187.895,187.35,185.769,182.659,178.531,174.409,170.116,165.993,162.319,158.948,155.432,151.85,148.481,145.419,142.583,139.78,137.026,134.377,131.832,129.362,126.93,124.545,122.107,119.564,116.949,114.329,111.664,109.027,106.453,103.887,101.246,98.555,95.678,92.542,89.208,85.836,82.427,78.869,75.137,71.289,67.443,63.611,59.789,55.999,52.271,48.619,45.047,41.701,38.658,35.875,33.184,30.572,28.283,26.409,24.82,23.319,21.97,20.474,18.669,16.696,14.863,13.111,11.478,10.015,8.695,7.35,6.212,5.343,4.425,3.451,2.753,2.354,1.983,1.579,1.143,0.854,2.193
ECE: North America-2,4328.143,4316.883,4317.458,4328.268,4293.201,4348.909,4403.566,4456.014,4505.094,4554.397,4607.519,4639.543,4639.81,4621.413,4607.188,4591.465,4595.655,4632.383,4691.697,4745.473,4792.675,4860.041,4955.911,5065.473,5169.219,5275.417,5337.2,5330.637,5277.744,5225.13,5164.269,5104.492,5055.396,5011.687,4960.554,4907.057,4847.747,4780.448,4710.077,4643.251,4578.086,4527.971,4500.073,4488.835,4481.309,4479.811,4485.214,4496.571,4514.139,4534.122,4551.279,4589.018,4656.663,4739.662,4814.402,4885.912,4927.682,4924.196,4886.229,4842.712,4791.035,4714.242,4607.806,4479.16,4338.908,4183.307,4032.61,3897.463,3768.516,3630.47,3492.02,3325.583,3117.716,2885.205,2657.163,2426.423,2220.711,2056.348,1920.587,1784.105,1652.462,1526.013,1401.905,1281.621,1168.986,1062.617,962.711,869.548,782.081,695.054,633.267,564.542,472.323,358.3,275.6,237.416,198.994,151.033,93.535,58.123,98.056
ECE: UNECE-52,15237.18,15483.978,15677.462,15821.687,15808.661,15913.291,15972.916,15991.602,15973.393,15932.504,15883.134,15778.628,15602.8,15390.112,15190.9,14994.721,14878.319,14884.955,14985.232,15093.382,15210.876,15415.552,15732.496,16123.213,16513.396,16905.108,17286.057,17638.43,17956.307,18263.333,18568.828,18747.817,18744.868,18616.43,18479.685,18317.496,18151.479,18006.257,17874.174,17721.076,17551.583,17412.868,17324.348,17270.001,17218.299,17180.226,17132.267,17061.065,16982.051,16905.429,16806.891,16796.937,16924.399,17125.803,17295.269,17461.762,17504.018,17353.416,17066.504,16770.852,16443.859,16087.236,15715.563,15323.146,14890.412,14422.09,13933.346,13430.085,12909.521,12380.188,11861.098,11271.812,10579.866,9835.665,9100.401,8335.846,7737.246,7399.671,7223.636,7028.841,6868.427,6580.164,6070.593,5425.759,4823.61,4226.725,3692.295,3266.105,2915.077,2544.659,2247.137,1969.552,1610.308,1175.34,862.481,726.231,600.736,443.395,254.22,149.218,219.313
ECLAC: Latin America,10177.769,10211.385,10236.607,10254.87,10307.24,10294.59,10284.122,10276.965,10274.234,10273.027,10270.431,10287.76,10334.21,10398.808,10460.445,10522.261,10575.344,10612.739,10637.572,10659.314,10675.375,10681.26,10675.435,10657.945,10632.741,10601.868,10549.671,10469.668,10370.128,10263.4,10144.141,10035.573,9949.58,9874.25,9788.055,9698.049,9583.186,9431.689,9255.223,9078.8,8899.356,8717.91,8538.121,8360.233,8178.96,7993.157,7822.335,7674.977,7542.362,7404.974,7263.955,7123.173,6981.684,6836.293,6688.643,6543.076,6366.817,6145.209,5894.512,5643.708,5384.666,5144.303,4938.208,4752.731,4561.533,4373.328,4167.925,3933.752,3683.297,3440.346,3199.789,2975.474,2776.6,2596.546,2418.601,2245.034,2081.729,1929.601,1786.536,1650.294,1522.249,1393.744,1260.524,1126.709,1000.566,880.282,769.453,670.625,581.902,492.841,422.945,364.044,295.786,218.408,163.537,137.22,113.263,85.21,53.073,33.829,61.098
ECLAC: The Caribbean,150.056,153.101,156.302,159.596,163.732,166.838,169.881,172.825,175.592,178.237,180.838,182.679,183.441,183.452,183.33,182.958,182.585,182.389,182.254,181.853,181.253,180.512,179.63,178.601,177.547,176.562,175.108,172.949,170.422,167.911,165.136,163.485,163.627,164.838,165.908,167.329,167.39,165.197,161.668,158.469,155.086,153.067,153.258,154.86,156.158,157.506,158.335,158.2,157.401,156.636,155.688,154.762,153.996,153.187,152.039,150.657,148.511,145.317,141.335,137.245,133.076,128.298,122.787,116.849,110.81,104.444,99.14,95.573,93.068,90.38,87.879,84.529,79.72,74.019,68.58,63.143,58.216,54.155,50.679,47.159,43.743,40.302,36.718,33.107,29.691,26.431,23.377,20.563,17.973,15.39,13.245,11.521,9.552,7.323,5.754,4.963,4.191,3.259,2.154,1.421,2.891
ESCAP region: East and North-East Asia,18186.572,18645.099,18986.968,19224.716,19375.737,19425.454,19416.71,19360.515,19267.876,19149.352,19015.499,18879.581,18753.499,18646.911,18554.163,18472.286,18482.135,18622.201,18861.137,19151.889,19531.21,19878.683,20138.501,20385.846,20626.604,20709.496,21370.478,22928.081,24961.47,26863.631,28914.79,29850.539,29030.922,27103.162,25362.643,23560.128,22191.292,21636.788,21656.513,21544.731,21340.631,21642.392,22644.546,24075.794,25462.77,26891.103,27981.813,28495.055,28578.173,28670.687,28747.498,28424.279,27573.771,26368.039,25128.305,23816.555,22577.642,21524.854,20619.101,19639.443,18547.795,17848.595,17744.532,17986.217,18174.105,18451.158,18233.719,17211.024,15677.825,14240.517,12778.877,11482.697,10507.864,9751.915,8945.135,8127.821,7413.738,6828.243,6335.487,5877.171,5468.438,5038.796,4548.334,4028.508,3552.644,3108.424,2689.242,2299.909,1940.477,1569.614,1268.235,1063.93,845.216,609.499,446.205,369.213,302.406,225.457,138.364,85.133,148.501
ESCAP region: North and Central Asia,3629.636,3747.82,3820.424,3852.129,3858.218,3811.348,3741.226,3652.073,3548.1,3432.56,3308.694,3185.564,3069.326,2961.289,2858.763,2764.892,2689.303,2637.408,2609.205,2593.708,2586.431,2629.286,2739.901,2897.242,3053.346,3206.664,3377.959,3569.121,3763.403,3950.572,4142.726,4245.946,4215.602,4095.404,3975.91,3841.651,3714.214,3614.323,3531.836,3433.809,3324.355,3233.169,3170.976,3127.189,3087.073,3061.463,3009.388,2911.508,2791.675,2681.772,2561.868,2519.247,2596.216,2745.751,2881.382,3023.865,3108.899,3096.853,3018.948,2945.974,2863.682,2775.565,2690.409,2602.228,2501.132,2394.972,2261.773,2091.508,1899.023,1711.748,1527.295,1357.166,1210.878,1086.393,962.133,830.422,759.005,775.607,845.089,912.331,997.607,1014.956,918.944,752.723,602.339,447.555,329.584,276.634,265.699,252.755,238.077,210.373,165.697,106.723,61.675,43.721,34.373,24.095,12.903,7.068,10.117
ESCAP region: Pacific,696.587,690.999,685.983,681.432,671.646,671.038,669.795,667.856,665.166,662.243,659.625,654.274,644.94,633.343,622.244,610.844,602.773,600.058,600.991,601.624,602.422,604.178,606.78,609.86,613.157,616.702,619.064,619.511,618.502,617.1,614.911,612.337,609.622,606.356,602.686,599.55,592.144,578.386,561.007,543.988,525.53,513.679,512.516,517.945,522.29,527.722,528.291,520.452,507.446,495.564,482.979,473.844,470.678,471.022,470.07,469.005,465.093,456.568,444.909,433.547,422.004,409.843,397.244,384.372,370.829,356.242,343.58,334.142,326.432,318.128,310.287,298.73,281.34,260.34,240.01,219.407,200.946,186.228,174.061,161.606,149.373,137.735,126.57,115.872,105.789,96.321,87.042,77.753,68.626,59.421,52.482,46.101,37.916,28.021,21.024,17.993,14.93,11.029,6.29,3.571,4.778
ESCAP region: South and South-West Asia,37485.855,36913.326,36524.345,36296.063,36012.215,36184.615,36407.264,36661.611,36929.125,37215.976,37528.318,37724.092,37735.343,37617.649,37496.972,37351.031,37179.977,36997.448,36798.4,36567.82,36313.117,36034.245,35731.134,35409.948,35068.149,34695.724,34357.291,34081.404,33834.419,33552.639,33246.988,32884.865,32443.0,31934.389,31409.835,30876.614,30245.761,29483.698,28637.028,27785.465,26912.494,26091.631,25367.414,24709.356,24038.965,23367.76,22725.268,22117.005,21533.501,20957.307,20388.963,19822.917,19253.674,18680.795,18111.196,17545.709,16959.337,16341.017,15701.195,15059.026,14407.832,13766.212,13144.437,12531.711,11918.233,11319.48,10669.153,9937.625,9163.411,8410.001,7659.109,6987.94,6439.572,5977.523,5521.857,5088.101,4666.152,4242.81,3826.238,3439.083,3078.347,2731.102,2393.657,2070.6,1769.73,1488.924,1236.543,1017.363,827.41,636.682,485.03,391.264,300.402,210.809,148.397,116.597,93.501,68.862,42.687,26.02,52.908
ESCAP region: South-East Asia,10957.51,11168.855,11319.731,11416.977,11553.751,11508.782,11445.491,11369.225,11285.347,11191.066,11083.61,11009.002,10988.86,11004.139,11013.126,11022.932,11030.189,11028.635,11020.722,11012.126,10998.084,10985.766,10978.103,10968.093,10954.944,10949.792,10890.716,10750.332,10562.151,10375.435,10166.39,10035.829,10034.439,10109.062,10164.786,10231.301,10215.06,10063.37,9826.232,9601.657,9364.422,9170.925,9057.303,8991.66,8906.243,8814.916,8701.88,8552.563,8377.115,8201.204,8020.834,7827.9,7621.295,7403.337,7176.383,6938.69,6700.548,6466.903,6232.695,5991.068,5747.186,5480.871,5182.611,4864.026,4549.33,4237.382,3927.537,3623.124,3327.066,3037.124,2751.556,2498.088,2289.629,2114.531,1946.578,1789.021,1644.103,1509.655,1384.358,1270.08,1167.653,1061.919,945.879,825.882,715.027,610.396,516.625,437.24,369.48,301.174,246.907,207.239,164.487,118.504,86.153,70.733,58.146,43.799,27.699,17.828,35.718
ESCAP: ADB Developing member countries (DMCs),64145.049,64228.095,64314.12,64399.753,64374.038,64526.496,64649.311,64740.306,64797.346,64835.283,64868.986,64811.162,64625.6,64361.218,64101.734,63828.725,63621.421,63527.255,63512.25,63515.119,63572.253,63590.904,63526.581,63442.456,63322.868,63022.997,63258.472,64336.26,65846.216,67196.177,68654.443,69000.163,67613.654,65116.187,62773.071,60360.44,58257.8,56791.17,55783.771,54650.672,53410.333,52719.839,52816.403,53405.036,53938.971,54510.037,54805.009,54606.725,54035.637,53475.498,52904.95,51938.119,50438.924,48575.025,46676.83,44710.238,42758.229,40905.997,39141.161,37295.582,35318.192,33741.252,32785.83,32186.927,31532.231,30992.73,29873.401,27814.988,25179.945,22678.867,20156.361,17966.046,16351.369,15131.576,13868.865,12634.424,11514.829,10504.126,9583.555,8746.46,8001.49,7238.901,6405.553,5547.057,4761.426,4028.231,3367.855,2800.021,2310.435,1814.637,1414.434,1155.648,895.933,631.553,447.98,357.909,288.919,213.717,132.317,80.595,155.482
ESCAP: ADB Group A (Concessional assistance only),3627.639,3595.462,3568.66,3546.502,3531.626,3517.767,3505.797,3495.033,3484.818,3475.124,3465.933,3453.295,3435.238,3413.042,3389.104,3361.888,3335.035,3310.253,3284.933,3255.559,3223.78,3181.2,3123.566,3055.033,2986.174,2917.487,2841.185,2755.326,2664.821,2573.19,2475.647,2400.834,2362.044,2344.764,2324.922,2311.85,2271.945,2187.508,2076.612,1972.61,1865.93,1784.103,1743.262,1728.614,1709.504,1692.369,1667.574,1627.325,1577.252,1530.71,1484.965,1439.158,1394.186,1349.361,1303.553,1257.519,1209.07,1157.183,1103.266,1049.251,994.138,942.61,896.994,854.88,812.568,772.008,726.007,670.998,611.056,553.396,496.083,445.75,406.277,374.384,342.922,313.292,284.526,255.41,226.723,200.504,176.383,153.698,132.32,112.399,94.082,77.222,62.507,50.256,40.09,30.193,22.716,17.941,13.299,8.702,5.456,4.059,3.178,2.204,1.126,0.487,0.534
ESCAP: ADB Group B (OCR blend),33577.436,33036.435,32674.222,32468.556,32196.119,32385.463,32623.48,32892.029,33172.989,33473.12,33799.191,34008.579,34033.348,33930.064,33824.786,33694.177,33546.127,33397.816,33240.392,33049.286,32831.169,32593.329,32337.526,32065.021,31770.162,31447.93,31132.793,30839.373,30549.383,30229.992,29887.86,29498.44,29046.214,28541.656,28022.571,27495.559,26896.862,26203.105,25449.551,24692.766,23918.973,23197.548,22568.019,22000.611,21424.814,20853.288,20293.554,19741.843,19198.667,18664.013,18132.72,17618.218,17125.5,16644.074,16161.697,15684.701,15174.198,14610.815,14012.871,13415.16,12807.253,12215.499,11655.395,11111.796,10565.344,10033.468,9448.495,8779.166,8065.14,7372.27,6681.321,6071.165,5585.791,5187.443,4793.798,4420.638,4056.794,3688.231,3323.358,2986.337,2674.357,2371.095,2071.466,1781.675,1511.993,1259.155,1036.077,849.849,694.064,539.27,416.283,337.53,260.476,184.197,130.653,102.642,82.479,61.193,38.79,24.209,51.051
ESCAP: ADB Group C (Regular OCR only),26939.974,27596.198,28071.238,28384.695,28646.293,28623.266,28520.034,28353.244,28139.539,27887.039,27603.862,27349.288,27157.014,27018.112,26887.844,26772.66,26740.259,26819.186,26986.925,27210.274,27517.304,27816.375,28065.489,28322.402,28566.532,28657.58,29284.494,30741.561,32632.012,34392.995,36290.936,37100.889,36205.396,34229.767,32425.578,30553.031,29088.993,28400.557,28257.608,27985.296,27625.43,27738.188,28505.122,29675.811,30804.653,31964.38,32843.881,33237.557,33259.718,33280.775,33287.265,32880.743,31919.238,30581.59,29211.58,27768.018,26374.961,25137.999,24025.024,22831.171,21516.801,20583.143,20233.441,20220.251,20154.319,20187.254,19698.899,18364.824,16503.749,14753.201,12978.957,11449.131,10359.301,9569.749,8732.145,7900.494,7173.509,6560.485,6033.474,5559.619,5150.75,4714.108,4201.767,3652.983,3155.351,2691.854,2269.271,1899.916,1576.281,1245.174,975.435,800.177,622.158,438.654,311.871,251.208,203.262,150.32,92.401,55.899,103.897
